电影名称,封面链接,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,豆瓣评分,评价人数
肖申克的救赎,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2934829882.jpg,弗兰克·德拉邦特,弗兰克·德拉邦特,蒂姆·罗宾斯 / 摩根·弗里曼 / 鲍勃·冈顿 / 威廉·赛德勒 / 克兰西·布朗 / 吉尔·贝罗斯 / 马克·罗斯顿 / 詹姆斯·惠特摩,剧情 / 犯罪,美国,英语,2026-08-28(中国大陆),142分钟,9.7,3341411
霸王别姬,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2911205318.jpg,陈凯歌,芦苇,张国荣 / 张丰毅 / 巩俐 / 葛优 / 英达 / 蒋雯丽 / 吴大维 / 吕齐,剧情 / 爱情 / 同性,中国大陆 / 中国香港,汉语普通话,1993-07-26(中国大陆),171分钟 / 155分钟(美国剧场版),9.6,2454175
泰坦尼克号,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p457760035.jpg,詹姆斯·卡梅隆,詹姆斯·卡梅隆,莱昂纳多·迪卡普里奥 / 凯特·温斯莱特 / 比利·赞恩 / 凯西·贝茨 / 弗兰西丝·费舍 / 格劳瑞亚·斯图尔特 / 比尔·帕克斯顿 / 伯纳德·希尔,剧情 / 爱情 / 灾难,美国,英语 / 意大利语 / 德语 / 俄语,1998-04-03(中国大陆),194分钟 / 227分钟(白星版),9.5,2531445
阿甘正传,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p510876253.jpg,罗伯特·泽米吉斯,埃里克·罗思,汤姆·汉克斯 / 罗宾·怀特 / 加里·辛尼斯 / 麦凯尔泰·威廉逊 / 莎莉·菲尔德 / 海利·乔·奥斯蒙 / 迈克尔·康纳·亨弗里斯 / 哈罗德·G·赫瑟姆,剧情 / 爱情,美国,英语,1994-06-23(洛杉矶首映),142分钟,9.5,2458589
千与千寻,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2557573348.jpg,宫崎骏,宫崎骏,柊瑠美 / 入野自由 / 夏木真理 / 菅原文太 / 中村彰男 / 玉井夕海 / 神木隆之介 / 内藤刚志,剧情 / 动画 / 奇幻,日本,日语,2019-06-21(中国大陆),125分钟,9.4,2570351
星际穿越,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2614988097.jpg,克里斯托弗·诺兰,乔纳森·诺兰,马修·麦康纳 / 安妮·海瑟薇 / 杰西卡·查斯坦 / 麦肯吉·弗依 / 卡西·阿弗莱克 / 迈克尔·凯恩 / 马特·达蒙 / 提莫西·查拉梅,剧情 / 科幻 / 冒险,美国 / 英国 / 加拿大,英语,2014-11-12(中国大陆),169分钟,9.4,2226779
楚门的世界,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p479682972.jpg,彼得·威尔,安德鲁·尼科尔,金·凯瑞 / 劳拉·琳妮 / 艾德·哈里斯 / 诺亚·艾默里奇 / 娜塔莎·麦克艾霍恩,剧情 / 科幻,美国,英语,1998-06-05(美国),103分钟,9.4,2051452
这个杀手不太冷,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2913554676.jpg,吕克·贝松,吕克·贝松,让·雷诺 / 娜塔莉·波特曼 / 加里·奥德曼 / 丹尼·爱罗 / 彼得·阿佩尔 / 迈克尔·巴达鲁科 / 艾伦·格里尼 / 伊丽莎白·瑞根,剧情 / 动作 / 犯罪,法国 / 美国,英语 / 意大利语 / 法语,2024-11-01(中国大陆),133分钟(中国大陆) / 110分钟(剧场版),9.4,2577891
盗梦空间,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p513344864.jpg,克里斯托弗·诺兰,克里斯托弗·诺兰,莱昂纳多·迪卡普里奥 / 约瑟夫·高登-莱维特 / 艾利奥特·佩吉 / 汤姆·哈迪 / 渡边谦 / 迪利普·劳 / 基里安·墨菲 / 汤姆·贝伦杰,剧情 / 科幻 / 悬疑,美国 / 英国,英语 / 日语 / 法语,2010-09-01(中国大陆),148分钟,9.4,2357918
美丽人生,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2578474613.jpg,罗伯托·贝尼尼,温琴佐·切拉米,罗伯托·贝尼尼 / 尼可莱塔·布拉斯基 / 乔治·坎塔里尼 / 朱斯蒂诺·杜拉诺 / 赛尔乔·比尼·布斯特里克 / 玛丽萨·帕雷德斯 / 霍斯特·布赫霍尔茨 / 利迪娅·阿方西,剧情 / 喜剧 / 爱情,意大利,意大利语 / 德语 / 英语,2020-01-03(中国大陆),116分钟(国际版) / 125分钟,9.5,1499194
控方证人,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2927451337.jpg,比利·怀尔德,比利·怀尔德,泰隆·鲍华 / 玛琳·黛德丽 / 查尔斯·劳顿 / 埃尔莎·兰彻斯特 / 约翰·威廉姆斯 / 亨利·丹尼尔 / 伊安·沃尔夫 / 托林·撒切尔,剧情 / 悬疑 / 惊悚,美国,英语 / 德语,2025-12-05(中国大陆),116分钟,9.6,762129
疯狂动物城,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2924128964.jpg,拜伦·霍华德 / 瑞奇·摩尔 / 杰拉德·布什,,金妮弗·古德温 / 杰森·贝特曼 / 伊德瑞斯·艾尔巴 / 珍妮·斯蕾特 / 内特·托伦斯 / 邦妮·亨特 / 唐·雷克 / 汤米·钟,喜剧 / 动画 / 冒险,美国,英语 / 挪威语,2016-03-04(中国大陆),109分钟(中国大陆) / 108分钟,9.3,2357391
辛德勒的名单,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p492406163.jpg,史蒂文·斯皮尔伯格,托马斯·肯尼利,连姆·尼森 / 本·金斯利 / 拉尔夫·费因斯 / 卡罗琳·古多尔 / 乔纳森·萨加尔 / 艾伯丝·戴维兹 / 马尔戈萨·格贝尔 / 马克·伊瓦涅,剧情 / 历史 / 战争,美国,英语 / 希伯来语 / 德语 / 波兰语,1993-11-30(华盛顿首映),195分钟,9.5,1261041
忠犬八公的故事,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2587099240.jpg,拉斯·霍尔斯道姆,斯蒂芬·P·林赛,理查·基尔 / 莎拉·罗默尔 / 琼·艾伦 / 罗比·萨布莱特 / 艾瑞克·阿瓦利 / 田川洋行 / 杰森·亚历山大 / 罗伯特·卡普荣,剧情,美国 / 英国,英语 / 日语,2009-06-13(西雅图电影节),93分钟,9.4,1559371
海上钢琴师,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2914698334.jpg,朱塞佩·托纳多雷,,蒂姆·罗斯 / 普路特·泰勒·文斯 / 比尔·努恩 / 克兰伦斯·威廉姆斯三世 / 梅兰尼·蒂埃里 / 皮特·沃恩 / 尼尔·奥布赖恩 / 阿尔贝托·巴斯克斯,剧情 / 音乐,意大利,英语 / 法语 / 意大利语,2019-11-15(中国大陆),120分钟(国际版) / 170分钟(加长版) / 126分钟,9.3,1900827
机器人总动员,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2934742160.jpg,安德鲁·斯坦顿,安德鲁·斯坦顿,本·贝尔特 / 艾丽莎·奈特 / 杰夫·格尔林 / 佛莱德·威拉特 / 西格妮·韦弗 / MacInTalk / 约翰·拉森贝格 / 凯茜·纳基麦,科幻 / 动画 / 冒险,美国,英语,2026-08-19(中国大陆),98分钟,9.3,1524001
无间道,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2597979873.jpg,刘伟强 / 麦兆辉,,刘德华 / 梁朝伟 / 黄秋生 / 曾志伟 / 陈慧琳 / 郑秀文 / 陈冠希 / 余文乐,剧情 / 惊悚 / 犯罪,中国香港,粤语,2003-09-05(中国大陆),101分钟 / 97分钟(导演剪辑版),9.3,1587431
触不可及,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p1454261925.jpg,奥利维埃·纳卡什 / 埃里克·托莱达诺,,弗朗索瓦·克鲁塞 / 奥玛·希 / 安娜·勒尼 / 奥德雷·弗勒罗 / 约瑟芬娜·德·摩 / 克洛蒂尔德·莫莱特 / 阿尔芭·贝露琪 / Cyril Mendy,剧情 / 喜剧,法国,法语,2011-11-02(法国),112分钟,9.3,1314620
放牛班的春天,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2884280708.jpg,克里斯托夫·巴哈蒂,,让-巴蒂斯特·莫尼耶 / 热拉尔·朱尼奥 / 弗朗索瓦·贝莱昂 / 凯德·麦拉德 / 让-保罗·博奈雷 / 雅克·贝汉 / 玛丽·布奈尔 / 马克桑斯·贝汉,剧情 / 音乐,法国 / 瑞士 / 德国,法语,2004-10-16(中国大陆),97分钟,9.3,1491523
三傻大闹宝莱坞,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p579729551.jpg,拉吉库马尔·希拉尼,维德胡·维诺德·乔普拉,阿米尔·汗 / 卡琳娜·卡普尔 / 马达范 / 沙尔曼·乔希 / 奥米·瓦依达 / 博曼·伊拉尼 / 莫娜·辛格 / 拉杰夫·拉宾德拉纳特安,剧情 / 喜剧 / 爱情,印度,印地语 / 乌尔都语 / 英语,2011-12-08(中国大陆),171分钟(印度),9.2,2102768
哈利·波特与魔法石,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2913781448.jpg,克里斯·哥伦布,史蒂夫·克洛夫斯,丹尼尔·雷德克里夫 / 艾玛·沃森 / 鲁伯特·格林特 / 艾伦·瑞克曼 / 玛吉·史密斯 / 汤姆·费尔顿 / 伊恩·哈特 / 理查德·哈里斯,奇幻 / 冒险,美国 / 英国,英语,2002-01-26(中国大陆),152分钟 / 159分钟(加长版),9.2,1446965
海蒂和爷爷,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2554525534.jpg,阿兰·葛斯彭纳,约翰娜·施皮里,阿努克·斯特芬 / 布鲁诺·冈茨 / 昆林·艾格匹 / 安娜·申茨 / 伊莎贝尔·奥特曼 / 莉莲·奈福 / 彼得·杰克林 / 克里斯托夫·高格勒,剧情 / 家庭 / 冒险,德国 / 瑞士,南非语 / 德语 / 瑞士德语,2019-05-16(中国大陆),111分钟,9.3,802084
寻梦环游记,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2505426431.jpg,李·昂克里奇 / 阿德里安·莫利纳,,安东尼·冈萨雷斯 / 盖尔·加西亚·贝纳尔 / 本杰明·布拉特 / 阿兰娜·乌巴赫 / 芮妮·维克托 / 杰米·卡米尔 / 阿方索·阿雷奥 / 赫伯特·西古恩萨,喜剧 / 动画 / 音乐,美国,英语 / 西班牙语,2017-11-24(中国大陆),105分钟,9.1,2026122
末代皇帝,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p452089833.jpg,贝纳尔多·贝托鲁奇,贝纳尔多·贝托鲁奇,尊龙 / 陈冲 / 邬君梅 / 彼得·奥图尔 / 英若诚 / 吴涛 / 黄自强 / 丹尼斯·邓,剧情 / 传记 / 历史,英国 / 意大利 / 中国大陆 / 法国,英语 / 汉语普通话 / 日语,1987-10-04(东京国际电影节),163分钟 / 218分钟(加长版),9.3,1043915
教父,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p616779645.jpg,弗朗西斯·福特·科波拉,马里奥·普佐,马龙·白兰度 / 阿尔·帕西诺 / 詹姆斯·肯恩 / 理查德·S·卡斯特尔诺 / 罗伯特·杜瓦尔 / 斯特林·海登 / 约翰·马利 / 理查德·康特,剧情 / 犯罪,美国,英语 / 意大利语 / 拉丁语,1972-03-15(纽约首映),175 分钟,9.3,1123323
大话西游之大圣娶亲,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2455050536.jpg,刘镇伟,刘镇伟,周星驰 / 吴孟达 / 朱茵 / 蔡少芬 / 蓝洁瑛 / 莫文蔚 / 罗家英 / 刘镇伟,喜剧 / 爱情 / 奇幻,中国香港 / 中国大陆,粤语 / 汉语普通话,2014-10-24(中国大陆),95分钟 / 110分钟(重映版),9.2,1730623
龙猫,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2540924496.jpg,宫崎骏,宫崎骏,日高范子 / 坂本千夏 / 糸井重里 / 岛本须美 / 北林谷荣 / 高木均 / 雨笠利幸 / 丸山裕子,动画 / 奇幻 / 冒险,日本,日语,2018-12-14(中国大陆),86分钟,9.2,1427677
活着,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2597919477.jpg,张艺谋,芦苇,葛优 / 巩俐 / 姜武 / 牛犇 / 郭涛 / 张璐 / 倪大红 / 肖聪,剧情 / 家庭 / 历史,中国大陆 / 中国香港,汉语普通话,1994-06-30(中国香港),132分钟,9.3,984534
怦然心动,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p501177648.jpg,罗伯·莱纳,罗伯·莱纳,玛德琳·卡罗尔 / 卡兰·麦克奥利菲 / 瑞贝卡·德·莫妮 / 安东尼·爱德华兹 / 约翰·马奥尼 / 佩内洛普·安·米勒 / 艾丹·奎因 / 凯文·韦斯曼,剧情 / 喜剧 / 爱情,美国,英语,2010-07-26(好莱坞首映),90分钟,9.1,2074899
还有明天,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2918279456.jpg,宝拉·柯特莱西,宝拉·柯特莱西,宝拉·柯特莱西 / 瓦莱里奥·马斯坦德雷亚 / 罗马纳·马乔拉·韦尔加诺 / 埃马努艾拉·法内利 / 乔治·科兰杰利 / 维尼乔·马尔基奥尼 / 弗朗切斯科·琴托拉梅 / 雷法莱·维诺利,剧情 / 喜剧 / 历史,意大利,意大利语 / 英语,2025-03-08(中国大陆),118分钟,9.3,390302
熔炉,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p1363250216.jpg,黄东赫,黄东赫,孔刘 / 郑裕美 / 金贤秀 / 郑仁絮 / 白承焕 / 张矿 / 金民尚 / 林贤成,剧情,韩国,韩语,2011-09-22(韩国),125分钟,9.3,1046586
十二怒汉,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2173577632.jpg,西德尼·吕美特,雷金纳德·罗斯,亨利·方达 / 马丁·鲍尔萨姆 / 约翰·菲德勒 / 李·科布 / E.G.马绍尔 / 杰克·克卢格曼 / 爱德华·宾斯 / 杰克·沃登,剧情,美国,英语,1957-04-10(美国),96分钟,9.4,589095
大闹天宫,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2184505167.jpg,万籁鸣,李克弱,邱岳峰 / 富润生 / 毕克 / 尚华 / 于鼎 / 李梓 / 刘广宁,剧情 / 动画 / 奇幻,中国大陆,汉语普通话,1961(中国大陆),113分钟 / 44分钟(上集) / 69分钟(下集) / 84分钟(40周年纪念版),9.4,518226
当幸福来敲门,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2220721286.jpg,加布里埃莱·穆奇诺,斯蒂夫·康拉德,威尔·史密斯 / 贾登·史密斯 / 坦迪·牛顿 / 布莱恩·豪威 / 詹姆斯·凯伦 / 丹·卡斯泰兰尼塔 / 柯特·富勒 / 塔卡尤·费舍尔,剧情 / 家庭 / 传记,美国,英语 / 粤语,2008-01-17(中国大陆),117分钟,9.1,1707176
